type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,107367800899.55023,217.607061872368,211.9047619047619,153.97308609932713,107403373944.0
DDR4-1.3333333,0,5,105137943028.48576,179.34568564267812,172.38095238095238,126.612960165324,105166240410.0
DDR4-1.3333333,0,10,102219898050.97452,161.71188475390156,150.95238095238093,121.77492754437318,102250185828.0
DDR4-1.3333333,0,15,97273830284.85757,125.02727329463896,109.52380952380952,99.52951748823793,97280032254.0
DDR4-1.3333333,0,20,90534083358.32085,111.26110281510978,92.38095238095238,88.80731172018278,90544038906.0
DDR4-1.3333333,0,25,89868128335.83208,110.8263370388806,90.0,87.74897844372445,89871165258.0
DDR4-1.3333333,0,30,87816597301.34933,109.25224489795917,86.19047619047619,83.56039933900999,87817066260.0
DDR4-1.3333333,0,35,85036713643.17842,105.56694615830827,84.28571428571428,82.64844431621111,85039698636.0
DDR4-1.3333333,0,40,78871508245.87706,99.1007591442374,76.19047619047619,75.75455814386395,78882239550.0
DDR4-1.3333333,0,45,76835291154.42279,97.09644425145945,75.23809523809524,74.41331511033287,76847089062.0
DDR4-1.3333333,0,50,74702220089.95503,95.6425479282622,74.28571428571428,73.88549134713729,74706713868.0
DDR4-1.3333333,0,55,73255724137.93103,93.62845960301928,70.0,69.56196623904916,73262595594.0
DDR4-1.3333333,0,60,71641513643.17842,93.12999213290757,70.0,69.27420473185512,71639071218.0
DDR4-1.3333333,0,65,67789788305.847084,90.17655539036807,66.19047619047619,65.78624714465617,67784863866.0
DDR4-1.3333333,0,70,64600391004.49775,87.96594250603466,65.23809523809524,64.76470736911769,64590225900.0
DDR4-1.3333333,0,80,60355271964.018,85.0407738095238,62.857142857142854,62.02394705059867,60350194650.0
DDR4-1.3333333,0,90,56558555922.03898,81.90802069330725,60.0,59.533451238336276,56558477064.0
DDR4-1.3333333,0,100,50396977511.24438,79.66420018299718,56.19047619047619,55.61857564046439,50377231554.0
DDR4-1.3333333,0,120,45654491154.42279,77.390731292517,53.33333333333333,52.709705067742625,45647764350.0
DDR4-1.3333333,0,140,41624774812.593704,76.23057044046669,52.857142857142854,52.343113308577834,41624229900.0
DDR4-1.3333333,0,160,38297149025.48726,76.19321248052293,53.33333333333333,52.72510556812764,38298161844.0
DDR4-1.3333333,0,180,35277011094.452774,75.70136054421769,50.95238095238095,50.440263511006584,35266803570.0
DDR4-1.3333333,0,200,32590690254.87257,75.06578455558048,52.38095238095238,51.706245542656134,32580550062.0
DDR4-1.3333333,0,220,30156847976.011993,74.87351424086118,50.95238095238095,50.17299050432476,30146674566.0
DDR4-1.3333333,0,260,26754868965.517242,74.65904613211404,51.904761904761905,51.323177783079444,26743199826.0
DDR4-1.3333333,0,300,24049338530.734634,74.55287907512731,50.0,49.25022723125568,24043642044.0
DDR4-1.3333333,0,340,21897125037.48126,74.0322759538598,50.476190476190474,49.91371324784283,21890768904.0
DDR4-1.3333333,0,380,20156507346.326836,73.98458296362023,49.52380952380952,48.92395847309896,20150328198.0
DDR4-1.3333333,0,450,17549711544.227886,74.11756876663709,50.0,49.41434448535861,17542287678.0
DDR4-1.3333333,0,550,15024925937.031485,73.446638870602,51.904761904761905,51.10957027773925,15019717032.0
DDR4-1.3333333,0,600,14121403298.350826,73.2940896788823,49.52380952380952,49.13297297832432,14115026520.0
DDR4-1.3333333,0,700,12492013193.4033,73.27814351547069,50.476190476190474,49.82437024560925,12487067388.0
DDR4-1.3333333,0,800,10950812593.70315,73.85905497334068,50.95238095238095,50.32762250819056,10941352854.0
DDR4-1.3333333,0,900,10054073763.11844,73.39302172481896,48.095238095238095,47.64747119118678,10045935018.0
DDR4-1.3333333,0,1000,9231822488.755623,72.98752228163993,49.047619047619044,48.20592870514821,9224295414.0
DDR4-1.3333333,0,2000,5265175412.293854,72.66366333767549,49.047619047619044,48.436897960922444,5255590692.0
DDR4-1.3333333,0,10000,1917399700.1499252,67.60685660402775,45.714285714285715,44.959960123999004,1901301450.0
DDR4-1.3333333,10,0,102514691454.27286,198.86581879128462,186.19047619047618,127.29338943233473,102515061798.0
DDR4-1.3333333,10,5,100006697451.27437,168.81985386747291,155.23809523809524,119.20793923019848,100008214380.0
DDR4-1.3333333,10,10,96494699850.07497,150.24130971069744,130.95238095238093,106.91010492275262,96463633734.0
DDR4-1.3333333,10,15,89193576011.994,121.59730320699708,102.38095238095238,95.44839688620992,89114837544.0
DDR4-1.3333333,10,20,78757123838.08096,110.1025894228659,91.42857142857143,88.4908559622714,78714928254.0
DDR4-1.3333333,10,25,79103971214.3928,109.6749387755102,90.47619047619047,88.22953570573839,79052776134.0
DDR4-1.3333333,10,30,74485675562.21889,106.95211522108843,87.61904761904762,86.51828316295708,74433371550.0
DDR4-1.3333333,10,35,70445346926.53674,103.32204700061843,80.95238095238095,79.5812359895309,70409837100.0
DDR4-1.3333333,10,40,66476684857.57121,98.3867762932511,78.57142857142857,77.69820044245502,66462903000.0
DDR4-1.3333333,10,45,63401604797.601204,94.53722600151171,70.95238095238095,70.2055442551386,63371070768.0
DDR4-1.3333333,10,50,62042626686.65668,93.11971863575361,72.85714285714285,72.39721155993028,61995892806.0
DDR4-1.3333333,10,55,61607119640.17992,93.08825026609283,71.42857142857143,70.77730526943263,61550804430.0
DDR4-1.3333333,10,60,60573898650.674675,91.1091156462585,70.0,69.2100519802513,60519924912.0
DDR4-1.3333333,10,65,59915802098.95053,90.12582781456953,70.95238095238095,70.35413425885335,59870434530.0
DDR4-1.3333333,10,70,61095781709.145424,88.97932506335867,65.71428571428571,65.28719488217988,61030728330.0
DDR4-1.3333333,10,80,55462534332.83359,85.13490646258504,61.904761904761905,61.113661527841536,55428823404.0
DDR4-1.3333333,10,90,49232714842.57871,82.06806819113187,59.047619047619044,58.23436870585921,49202424000.0
DDR4-1.3333333,10,100,43084905547.22639,79.25561619996836,55.714285714285715,55.09874612746866,43018356372.0
DDR4-1.3333333,10,120,39250979310.34483,78.11039844509232,53.33333333333333,52.487898562197465,39204868158.0
DDR4-1.3333333,10,140,36014968515.742134,77.21545793458627,54.285714285714285,53.451897586297434,35968301562.0
